"","W1_linear","W1_CES07","W2_linear","W2_CES07","W3_linear","W3_CES07","W4_linear","W4_CES07","W5_linear","W5_CES07","W6_linear","W6_CES07","W7_linear","W7_CES07","W8_linear","W8_CES07","W9_linear","W9_CES07","W10_linear","W10_CES07"
"Acer",16.5,4.193,6.3,2.631,11.25,3.206,7.65,2.365,7.3,2.198,6.35,2.724,13.875,3.652,5.015,2.545,4.675,1.978,28.9,7.36
"Fraxinus",20.25,7.728,9.088,5.108,14.474,6.112,10.272,4.723,9.786,4.438,9.184,5.27,17.362,6.852,7.726,4.938,6.898,4.035,33.67,12.633
"Quercus",23.25,8.071,11.012,6.629,16.756,6.776,11.718,4.816,11.274,4.643,10.706,5.995,20.003,7.383,9.875,7.463,8.027,4.327,38.75,12.792
"Quercus r.",16.25,4.821,7.2,2.391,11.65,3.42,8.3,2.69,7.75,2.4,7.6,2.849,13.95,4.034,5.89,2.022,5.45,2.101,26.45,8.579
"Tilia",19.75,7.304,8.669,4.716,14.037,5.728,9.961,4.444,9.493,4.164,8.792,4.919,16.894,6.448,7.276,4.506,6.637,3.773,33.035,12.068
"Ulmus",20,5.887,8.45,3.658,14,4.497,9.5,3.328,8.95,3.076,8.55,3.84,17,5.125,7.08,3.5,5.95,2.767,33.85,10.074
